Gene	Tumor_type	Significance	Tumor_type
STK19	MEL	Significantly mutated	Melanoma
ACO1	MEL	Significantly mutated	Melanoma
ANK3	MEL	Near significance	Melanoma
MXRA5	MEL	Near significance	Melanoma
GPR116	MEL	Near significance	Melanoma
SLC12A8	MEL	Near significance	Melanoma
EGFL6	MEL	Near significance	Melanoma
PCDP1	MEL	Near significance	Melanoma
ARID2	MEL	Near significance	Melanoma
CCDC148	MEL	Near significance	Melanoma
SNX31	MEL	Near significance	Melanoma
SLC44A4	MEL	Near significance	Melanoma
CTNNB1	MEL	Near significance	Melanoma
MGC42105	MEL	Near significance	Melanoma
ZNF217	MEL	Near significance	Melanoma
RXRA	MEL	Near significance	Melanoma
NCOR1	MEL	Near significance	Melanoma
ALDH1B1	MEL	Near significance	Melanoma
ZNF750	MEL	Near significance	Melanoma
PIK3CA	MEL	Near significance	Melanoma
FDXACB1	MEL	Near significance	Melanoma
KIT	MEL	Near significance	Melanoma
KRAS	MM	Highly significantly mutated	Multiple myeloma
NRAS	MM	Highly significantly mutated	Multiple myeloma
DIS3	MM	Highly significantly mutated	Multiple myeloma
TP53	MM	Highly significantly mutated	Multiple myeloma
FAM46C	MM	Highly significantly mutated	Multiple myeloma
BRAF	MM	Highly significantly mutated	Multiple myeloma
TRAF3	MM	Significantly mutated	Multiple myeloma
PRDM1	MM	Significantly mutated	Multiple myeloma
IRF4	MM	Significantly mutated	Multiple myeloma
INTS12	MM	Significantly mutated	Multiple myeloma
IDH1	MM	Significantly mutated	Multiple myeloma
FGFR3	MM	Near significance	Multiple myeloma
PTPN11	MM	Near significance	Multiple myeloma
EZR	MM	Near significance	Multiple myeloma
ALK	NB	Highly significantly mutated	Neuroblastoma
PTPN11	NB	Near significance	Neuroblastoma
FGFR3	NB	Near significance	Neuroblastoma
TP53	OV	Highly significantly mutated	Ovarian cancer
BRCA1	OV	Highly significantly mutated	Ovarian cancer
RB1	OV	Highly significantly mutated	Ovarian cancer
CDK12	OV	Highly significantly mutated	Ovarian cancer
NF1	OV	Significantly mutated	Ovarian cancer
BRCA2	OV	Near significance	Ovarian cancer
COL5A3	OV	Near significance	Ovarian cancer
CREBBP	OV	Near significance	Ovarian cancer
SMARCB1	OV	Near significance	Ovarian cancer
ITGB7	OV	Near significance	Ovarian cancer
ERBB2	OV	Near significance	Ovarian cancer
ACVR2B	OV	Near significance	Ovarian cancer
PDAP1	OV	Near significance	Ovarian cancer
KRAS	OV	Near significance	Ovarian cancer
NRAS	OV	Near significance	Ovarian cancer
SPOP	PRAD	Highly significantly mutated	Prostate cancer
TP53	PRAD	Significantly mutated	Prostate cancer
MED12	PRAD	Significantly mutated	Prostate cancer
ATM	PRAD	Significantly mutated	Prostate cancer
FOXA1	PRAD	Near significance	Prostate cancer
COL5A1	PRAD	Near significance	Prostate cancer
PIK3CA	PRAD	Near significance	Prostate cancer
SMARCB1	RHAB	Highly significantly mutated	Rhabdoid tumor
