symbol	max_min_score	Q75.25_score	cor	p.value	fdr	TSGene
PDE6H	0.661975461	0.1268445127	-0.1023200484	0.0701658068	0.4993692706	
SCD	0.6619466558	0.1267701056	-0.1022950733	0.0702144275	0.4993692706	
ZAP70	0.6618511438	0.1265233873	-0.1022122614	0.0703758282	0.4993692706	
CDSN	0.6617146981	0.1261709327	-0.1020939587	0.0706068924	0.4993692706	
RBM15	0.6616980214	0.1261278549	-0.1020794994	0.0706351733	0.4993692706	
PLAUR	0.6614645476	0.1255247658	-0.1018770703	0.0710320156	0.5006212292	
LIPT1	0.6613417465	0.1252075566	-0.1017705978	0.0712414265	0.5006212292	
GHRHR	0.6608869274	0.1240327078	-0.1013762553	0.0720211299	0.5043912398	
PRKD3	0.6607550299	0.1236920016	-0.101261896	0.0722484565	0.5043912398	
FDPS	0.6606519376	0.1234257026	-0.1011725117	0.0724265175	0.5043912398	
TUBA1C	0.6595786787	0.1206533537	-0.1002419622	0.07435122	0.5151291	
PDPK1	0.6595164061	0.1204924966	-0.1001879699	0.07440999	0.5151291	
LDHB	0.658822049	0.1186988941	-0.0995859404	0.0756430081	0.5212844343	
SPINK6	0.6587644386	0.1185500799	-0.0995359903	0.0757460022	0.5212844343	
NTSR2	0.6584748705	0.1178020928	-0.0992849256	0.0762652929	0.523314495	
IL22	0.6576440677	0.1156560356	-0.0985645933	0.077770149	0.5320755354	
TP73	0.6572301824	0.1145869231	-0.0982057416	0.078528145	0.5351769115	TSG
DHODH	0.6570694797	0.1141718099	-0.0980664073	0.0788239548	0.5351769115	
JUNB	0.6569769998	0.113932924	-0.0979862243	0.0789945652	0.5351769115	
RPGRIP1	0.6567071405	0.113235847	-0.0977522478	0.0794940018	0.5351769115	
ACP2	0.6565767591	0.112899057	-0.0976392029	0.0797361524	0.5351769115	
CDKL2	0.656528245	0.1127737398	-0.0975971397	0.0798263965	0.5351769115	
MARK2	0.656526729	0.1127698236	-0.0975958252	0.0798292178	0.5351769115	
NME1	0.6562736202	0.1121160151	-0.0973763719	0.0803611189	0.537199113	TSG
PCSK2	0.6558733056	0.1110819575	-0.0970292865	0.081052221	0.5372276932	
CDK14	0.6557899221	0.1108665685	-0.0969569904	0.0812092951	0.5372276932	
PKN1	0.6557520205	0.1107686644	-0.0969241285	0.0812807678	0.5372276932	
MPO	0.6557489884	0.1107608321	-0.0969214996	0.0812864877	0.5372276932	
IKZF3	0.6549848924	0.1087870861	-0.0962590042	0.0827375385	0.544861721	
CYP3A7	0.6548954447	0.1085560325	-0.0961814501	0.0829086631	0.544861721	
HSD11B2	0.6544087883	0.1072989442	-0.0957595037	0.0838443385	0.5481313232	
SI	0.6543314691	0.1070992199	-0.0956924654	0.0839937204	0.5481313232	
ANXA1	0.6542708265	0.1069425734	-0.0956398864	0.0841110217	0.5481313232	TSG
OPRD1	0.653540084	0.1050549829	-0.0950063095	0.0855341322	0.5558527312	
TMPO	0.6531913894	0.1041542655	-0.0947039802	0.0862194963	0.5587502358	
EZH2	0.6529473032	0.1035237633	-0.0944923498	0.0867016761	0.5603185879	
C5	0.6526956366	0.1028736803	-0.0942741469	0.0872009258	0.5611765526	
ALAS2	0.6526380262	0.1027248661	-0.0942241969	0.0873155116	0.5611765526	
NT5M	0.6525387597	0.1024684496	-0.0941381297	0.0875830249	0.5613494429	
AKR1B10	0.6522802352	0.1018006516	-0.0939139808	0.0880296536	0.5613577884	
NEK11	0.6521604662	0.1014912748	-0.0938101372	0.0882696746	0.5613577884	
NALCN	0.6521422735	0.1014442808	-0.0937943635	0.0883061759	0.5613577884	
GMDS	0.6518072234	0.1005788089	-0.0935038646	0.0889804093	0.5641067793	
RRM2B	0.6515510087	0.0999169773	-0.0932817183	0.0894985653	0.5658540725	
CD1A	0.6511917017	0.0989888468	-0.0929701877	0.0902289646	0.5689302012	
HDAC7	0.6510658684	0.0986638053	-0.0928610863	0.0904857967	0.5690117621	
CAD	0.6503684792	0.0968623704	-0.0922564278	0.0919189952	0.5764704723	
GABRD	0.6493906183	0.0943364454	-0.0914085914	0.0939566472	0.5876698606	
MCHR1	0.6489873454	0.0932947461	-0.0910589411	0.0948065672	0.5914003241	
PTPN1	0.6488493836	0.0929383753	-0.0909393238	0.0950986188	0.5916402071	
TNFAIP3	0.6481868639	0.0912270121	-0.0903648983	0.0965102919	0.5988258273	TSG
HAGH	0.6477123361	0.0900012532	-0.0899534676	0.0975307681	0.6025417735	
SCN5A	0.6476683702	0.0898876845	-0.0899153478	0.0976257138	0.6025417735	
SOST	0.647352305	0.0890712523	-0.0896413092	0.0983939219	0.6056807912	
PTH1R	0.6467617643	0.0875458191	-0.0891292918	0.0995986094	0.6114830415	
PI4KB	0.6464767443	0.0868095805	-0.0888821705	0.1002247968	0.6137124694	
GMPR	0.6463357504	0.0864453774	-0.0887599243	0.1005356141	0.6138697216	
SMAD4	0.6462265939	0.0861634136	-0.0886652821	0.1007767267	0.6138697216	TSG
RETSAT	0.6457384214	0.0849024092	-0.0882420211	0.1018601679	0.6169322454	
PIN1	0.6457338733	0.0848906607	-0.0882380777	0.1018703016	0.6169322454	
C8G	0.6455337529	0.0843737272	-0.088064567	0.1023169054	0.6169322454	
CASK	0.6455246565	0.0843502303	-0.0880566802	0.1023372392	0.6169322454	
THRSP	0.6452957309	0.0837588897	-0.0878581944	0.1028499349	0.6182439803	
F2	0.6451911225	0.0834886745	-0.0877674957	0.10308483	0.6182439803	
SIRT7	0.6443133218	0.0812212162	-0.0870064146	0.1050711866	0.6285412263	
RXRA	0.6441313942	0.0807512767	-0.0868486776	0.1054862904	0.6294105258	
IL13	0.6439608699	0.0803107932	-0.0867008277	0.1059690315	0.6306779348	
RPS6KL1	0.6437842157	0.0798544754	-0.0865476629	0.1062817176	0.6309293823	
FGFR1	0.6435082921	0.0791417338	-0.0863084284	0.1069169568	0.6330894932	
KCNK1	0.6431216959	0.0781431123	-0.0859732373	0.107811565	0.6358985	
CLPP	0.6430261839	0.077896394	-0.0858904254	0.1080334095	0.6358985	
CACNA1B	0.6428457724	0.0774303706	-0.0857340028	0.1084533404	0.6358985	
CCR3	0.6428336439	0.0773990413	-0.085723487	0.1084816129	0.6358985	
CYB5A	0.6424326774	0.0763632999	-0.0853758365	0.1095158054	0.6395500092	
ATF1	0.6422454113	0.0758795702	-0.0852134707	0.1098591645	0.6395500092	
CSF1	0.642216606	0.0758051631	-0.0851884957	0.1099269411	0.6395500092	
MLL	0.6420756121	0.0754409599	-0.0850662495	0.1102591204	0.6398868854	
FGFR2	0.6418785239	0.0749318588	-0.0848953678	0.1107246559	0.6409941001	
NMNAT3	0.6411280725	0.0729933582	-0.0842447027	0.1125100893	0.6497179166	
MEX3C	0.6410067874	0.0726800652	-0.0841395447	0.1128005532	0.6497868904	
WT1	0.6407232836	0.0719477427	-0.0838937378	0.1134815884	0.6502426395	TSG
CCBL1	0.6406732535	0.0718185094	-0.0838503602	0.1136020732	0.6502426395	
CETP	0.640667979	0.0718048849	-0.0838457871	0.1137158152	0.6502426395	
ACVR2A	0.6402836252	0.0708120555	-0.0835125401	0.114543498	0.6521777232	
ULK2	0.6402548199	0.0707376484	-0.0834875651	0.1146133161	0.6521777232	
ACADS	0.6400061855	0.0700953977	-0.0832719912	0.1152172085	0.6540188504	
FMO2	0.6395756235	0.0689832075	-0.0828986803	0.1162682874	0.6580484054	
SLC23A2	0.6394846597	0.0687482377	-0.0828198118	0.1164912094	0.6580484054	
GRIN1	0.638797883	0.066974216	-0.0822243546	0.1181840035	0.665069342	
STAT5B	0.6387493689	0.0668488988	-0.0821822914	0.1183042336	0.665069342	
HRSP12	0.6384810257	0.066155738	-0.0819496293	0.1189708096	0.6660523074	
KYNU	0.6384491884	0.0660734985	-0.0819220253	0.1190500695	0.6660523074	
FBXW7	0.6382900017	0.0656623015	-0.0817840055	0.1194469255	0.6666738687	TSG
UBR5	0.637842763	0.0645070334	-0.0813962353	0.1205668662	0.6677472042	
PGP	0.6378109257	0.064424794	-0.0813686314	0.1206468702	0.6677472042	
CHD1	0.6377593795	0.0642916445	-0.0813239392	0.1207764793	0.6677472042	
RPS6KA1	0.6377563474	0.0642838121	-0.0813213103	0.1207841064	0.6677472042	
ARG1	0.6376183856	0.0639274413	-0.081201693	0.1211314961	0.668084587	
APEX1	0.6372893998	0.063077634	-0.080916452	0.1219627057	0.6710825291	
SOX2	0.6368451932	0.0619301983	-0.0805313108	0.1230913395	0.675699047	
CSF2RB	0.6364040188	0.0607905949	-0.0801487986	0.1242194552	0.6770359278	
NRK	0.6362456205	0.0603814343	-0.0800114622	0.1247381466	0.6770359278	
GAPDHS	0.6362038984	0.0602736615	-0.0799752879	0.1247335418	0.6770359278	
TYR	0.6361766093	0.0602031705	-0.0799516273	0.124803759	0.6770359278	
DEK	0.6361758815	0.0602012907	-0.0799509964	0.1249177038	0.6770359278	
PDHB	0.6359060222	0.0595042135	-0.0797170197	0.1256142006	0.6770359278	
ALDH1B1	0.6359052339	0.0595021774	-0.0797163363	0.1255035242	0.6770359278	
YES1	0.6357490794	0.0590988126	-0.0795809454	0.1259074144	0.6770359278	
TAB3	0.6357339187	0.059059651	-0.0795678006	0.125946675	0.6770359278	
LMO1	0.6354595113	0.0583508255	-0.0793298806	0.1266587595	0.6792985882	
ACAD8	0.6353200334	0.0579905386	-0.0792089489	0.1270217698	0.6796830024	
CDKL1	0.6351547825	0.0575636768	-0.0790656712	0.1274527894	0.6804287361	
SIRT2	0.6347932312	0.0566297491	-0.0787521948	0.1285146646	0.6831740403	TSG
PNP	0.6347348329	0.0564788997	-0.0787015616	0.1285526805	0.6831740403	
SPEG	0.634545325	0.0559893794	-0.0785372522	0.1290511603	0.6842644479	
ULK4	0.6339510281	0.0544542436	-0.078021978	0.1306230302	0.6910284113	
RAC1	0.6338358073	0.0541566152	-0.0779220779	0.1309292976	0.6910815639	
AKR1D1	0.6333567312	0.0529191077	-0.0775067038	0.1322080147	0.6932368086	
SLC1A5	0.6333430867	0.0528838623	-0.0774948735	0.1322445589	0.6932368086	
SLC6A5	0.6332581871	0.0526645572	-0.0774212629	0.1324721002	0.6932368086	
COX8A	0.6331035486	0.0522651086	-0.0772871865	0.1328872394	0.6932368086	
MITF	0.6329807475	0.0519478994	-0.077180714	0.1332175428	0.6932368086	
KAT2A	0.6329564905	0.0518852408	-0.0771596824	0.1332828543	0.6932368086	
OGFOD1	0.6329064604	0.0517560074	-0.0771163047	0.1334176284	0.6932368086	
NDUFA10	0.6327457577	0.0513408941	-0.0769769704	0.1338511699	0.6933012329	
GAA	0.632726078	0.0512900594	-0.0769599075	0.1340243704	0.6933012329	
CUBN	0.6325198642	0.0507573859	-0.0767811136	0.1344622085	0.694027284	
GCNT2	0.6320589809	0.0495668724	-0.0763815132	0.1357147906	0.6989461514	
EFNB2	0.6316526759	0.0485173408	-0.0760292339	0.1368256132	0.6994118116	
PLA2G4A	0.631582937	0.0483371973	-0.0759687681	0.1370168964	0.6994118116	
BDH1	0.6315692924	0.0483019518	-0.0759569378	0.1370543426	0.6994118116	
GNPDA1	0.6315677764	0.0482980357	-0.0759556233	0.1370585038	0.6994118116	
VAV1	0.6314783286	0.048066982	-0.0758780693	0.1373041619	0.6994118116	
RPS6KA2	0.6312630476	0.0475108869	-0.0756914138	0.1378966323	0.6998844765	TSG
RUNX1T1	0.6312266621	0.047416899	-0.0756598664	0.1379969392	0.6998844765	
OSR1	0.6306232973	0.0458583398	-0.0751367301	0.1397921389	0.7074513233	
PIM2	0.6303579577	0.0451729377	-0.0749066723	0.1404064679	0.7090222717	
CD274	0.6301517731	0.0446403396	-0.0747279037	0.1409825096	0.7103935096	
CXCR7	0.629862205	0.0438923525	-0.074476839	0.1417941975	0.7119019148	
MYH7	0.6298273355	0.0438022808	-0.074446606	0.1418921519	0.7119019148	
SIRT3	0.6291830086	0.0421379116	-0.0738879542	0.1437103802	0.7194770754	TSG
ANXA3	0.6287903481	0.0411236254	-0.0735475051	0.1448260646	0.7220933064	
MYCN	0.6287812518	0.0411001285	-0.0735396183	0.1448519792	0.7220933064	
IL12B	0.6282627581	0.0397608008	-0.0730900678	0.1463342407	0.7279270439	
MB	0.6279186116	0.0388718318	-0.072791682	0.1473236541	0.7312895428	
CASP7	0.6276730094	0.0382374135	-0.0725787371	0.1480324756	0.7332479098	
IDO1	0.6274986621	0.0377870547	-0.0724275724	0.1485370267	0.7334110232	
ITPR2	0.6272409313	0.0371213071	-0.0722041117	0.1492849772	0.7334110232	
DCK	0.6271499675	0.0368863373	-0.0721252432	0.1495495558	0.7334110232	
ME3	0.6270241342	0.0365612958	-0.0720161418	0.1499160689	0.7334110232	
MMP24	0.6270150378	0.0365377988	-0.0720082549	0.1499425869	0.7334110232	
KDM6A	0.6269513632	0.03637332	-0.071953047	0.1501282999	0.7334110232	
KDM5D	0.626851303	0.0361148532	-0.0718662916	0.1504204427	0.7334110232	
MAX	0.626823283	0.0360424745	-0.0718419974	0.1506346768	0.7334110232	
MAPKAP1	0.6266739236	0.0356566622	-0.071712498	0.1509392572	0.7334110232	
ETFDH	0.6266011797	0.0354687565	-0.0716494268	0.1512851501	0.7334110232	
SGK1	0.6264631907	0.0351123155	-0.071529786	0.1515571643	0.7334110232	
CHRNB2	0.6263676787	0.0348655973	-0.0714469741	0.1518377729	0.7334110232	
SMO	0.626253974	0.0345718851	-0.0713483885	0.1521722781	0.7335081091	TSG
TUBB	0.6256687735	0.0330602462	-0.0708410011	0.1539015568	0.7385794218	
PLA2G2E	0.6254762334	0.0325628936	-0.0706740628	0.1544733331	0.7385794218	
AOC3	0.6253928767	0.0323475737	-0.0706017899	0.1548563518	0.7385794218	
PRKAB2	0.6253428198	0.0322182712	-0.070558389	0.1548703425	0.7385794218	
ITGAL	0.6252548882	0.0319911338	-0.0704821494	0.1551323739	0.7385794218	
PADI3	0.6251184425	0.0316386792	-0.0703638467	0.1555395504	0.7385794218	
DLD	0.6250759927	0.0315290266	-0.0703270414	0.1556663704	0.7385794218	
KCND2	0.6250456714	0.0314507033	-0.0703007519	0.1557569977	0.7385794218	
GLRA3	0.6245408223	0.0301466211	-0.0698630317	0.157271024	0.7428308608	
GRIK2	0.6244923083	0.0300213039	-0.0698209685	0.1574170211	0.7428308608	
PAEP	0.6244286336	0.0298568251	-0.0697657606	0.1576087767	0.7428308608	TSG
OTC	0.62415271	0.0291440835	-0.0695265261	0.1584414806	0.7443314807	
MCL1	0.6241117763	0.0290383471	-0.0694910353	0.1585652576	0.7443314807	
IKBKE	0.6238540455	0.0283725994	-0.0692675745	0.1593460425	0.7450060922	
DCXR	0.6237357926	0.0280671387	-0.0691650455	0.1597051214	0.7450060922	
ID1	0.6236478609	0.0278400013	-0.0690888059	0.1599724698	0.7450060922	
PCMT1	0.6236433127	0.0278282528	-0.0690848625	0.1599863061	0.7450060922	
LCMT2	0.623053564	0.0263048654	-0.0685735317	0.1617870036	0.7508915007	
CCND2	0.6230186946	0.0262147937	-0.0685432988	0.1618938812	0.7508915007	
ADORA3	0.6228458633	0.0257683511	-0.0683934487	0.1624242977	0.751694656	
TFG	0.62267	0.0253140763	-0.0682409696	0.1629651729	0.751694656	
SEPT3	0.6226351564	0.0252240713	-0.068210759	0.1632123327	0.751694656	
FCGR2B	0.6223334339	0.0244446881	-0.0679491561	0.1640035392	0.751694656	
HBB	0.6223167572	0.0244016103	-0.0679346969	0.1640551005	0.751694656	
CPT2	0.6222849199	0.0243193709	-0.0679070929	0.1641535648	0.751694656	
SEC14L2	0.6222303416	0.024178389	-0.0678597718	0.1643224495	0.751694656	TSG
PDIK1L	0.6218285848	0.0231406059	-0.0675114359	0.1655690742	0.7521350981	
SGK494	0.6218012956	0.023070115	-0.0674877754	0.1656539707	0.7521350981	
PTDSS2	0.6217770386	0.0230074564	-0.0674667438	0.1657294577	0.7521350981	
ADCK4	0.6217315567	0.0228899715	-0.0674273095	0.1658710554	0.7521350981	
IL1A	0.6216314965	0.0226315047	-0.0673405542	0.1661828441	0.7521350981	
TRPS1	0.6215769182	0.0224905229	-0.0672932331	0.1663530693	0.7521350981	
CD52	0.621464755	0.0222007926	-0.067195984	0.1668449935	0.7529001352	
GSTZ1	0.6205990573	0.0199645979	-0.0664453967	0.1694218992	0.7618447421	
KIF5B	0.6205225213	0.0197668967	-0.0663790375	0.1698068006	0.7618447421	
DYRK2	0.6205050614	0.0197217958	-0.0663638993	0.1697187791	0.7618447421	
TSTA3	0.6201533347	0.018813246	-0.0660589411	0.1708326262	0.7635320715	
GSTP1	0.6201518186	0.0188093299	-0.0660576266	0.1708374373	0.7635320715	
DGKG	0.620041146	0.01852345	-0.0659616699	0.1711888814	0.763639886	
NTSR1	0.6198577023	0.0180495943	-0.0658026184	0.1717724239	0.7647806582	
NR3C2	0.6196302928	0.0174621699	-0.0656054472	0.1724975754	0.7654036828	
FURIN	0.6195256844	0.0171919546	-0.0655147484	0.1728317961	0.7654036828	
RNASE3	0.6194756543	0.0170627213	-0.0654713707	0.1729917857	0.7654036828	
TSPO	0.6194028832	0.0168747454	-0.0654082759	0.1732246655	0.7654036828	
AKR1C3	0.619205795	0.0163656443	-0.0652373942	0.1738563778	0.7667427776	
GOPC	0.6189056144	0.0155902441	-0.0649771281	0.1748213199	0.7676721836	
MLLT6	0.6188555843	0.0154610107	-0.0649337505	0.1749824716	0.7676721836	
SOAT1	0.6187676527	0.0152338732	-0.0648575109	0.1752659351	0.7676721836	
DSCAM	0.6187312671	0.0151398853	-0.0648259635	0.175383315	0.7676721836	
CTLA4	0.6186069499	0.01481876	-0.0647181766	0.1757847368	0.7679883725	
PON1	0.6182582553	0.0139180425	-0.0644158473	0.1769137615	0.7708936158	
RNASE1	0.6181976128	0.013761396	-0.0643632683	0.1771105778	0.7708936158	
IFNAR2	0.6175040379	0.011969814	-0.063761917	0.1795187426	0.7784706812	
SLC25A15	0.6174896112	0.011932548	-0.0637494085	0.1794185777	0.7784706812	
PTAFR	0.6171560772	0.0110709922	-0.063460224	0.1805123443	0.7800411965	
ANPEP	0.6167270313	0.0099627181	-0.0630882276	0.181925428	0.7800411965	
SOX11	0.6166102944	0.0096611736	-0.062987013	0.182311094	0.7800411965	TSG
PIM1	0.6165314591	0.0094575331	-0.0629186603	0.182571831	0.7800411965	
CYP51A1	0.6164192704	0.0091677371	-0.0628213891	0.1829432788	0.7800411965	
IL6ST	0.6163889491	0.0090894138	-0.0627950996	0.1830437506	0.7800411965	
HMOX2	0.6163540797	0.0089993421	-0.0627648667	0.1831593354	0.7800411965	
MMP28	0.6162858568	0.0088231148	-0.0627057153	0.1833856106	0.7800411965	
COL1A2	0.6161312183	0.0084236662	-0.0625716389	0.1838991423	0.7800411965	
RIOK3	0.6159144213	0.0078636549	-0.062383669	0.1846205915	0.7800411965	
SUOX	0.6157719113	0.0074955356	-0.0622601083	0.1850957829	0.7800411965	
BRD3	0.6156657868	0.0072214042	-0.0621680951	0.1854501392	0.7800411965	
IL1R2	0.6156521423	0.0071861587	-0.0621562648	0.1854957297	0.7800411965	
ZNF497	0.6156506262	0.0071822426	-0.0621549503	0.1855007957	0.7800411965	
COX7B	0.6154853753	0.0067553808	-0.0620116725	0.1860535053	0.7800411965	
IFNGR2	0.6154838592	0.0067514646	-0.0620103581	0.1860585807	0.7800411965	
HDAC9	0.6154171524	0.0065791535	-0.0619525212	0.1862819839	0.7800411965	
MAK	0.6153716705	0.0064616686	-0.0619130869	0.186434399	0.7800411965	
ATRX	0.6152928352	0.0062580281	-0.0618447342	0.1866987671	0.7800411965	
RAB9A	0.6152564497	0.0061640402	-0.0618131868	0.1868208609	0.7800411965	
TXK	0.6152321927	0.0061013816	-0.0617921552	0.1869022841	0.7800411965	
ALPL	0.6149395925	0.0053455622	-0.0615384615	0.1878861711	0.7800750942	
MMP17	0.6148698535	0.0051654187	-0.0614779957	0.1881211412	0.7800750942	
GLI3	0.6145257071	0.0042764498	-0.0611796099	0.1892833066	0.7800750942	
DSTYK	0.6142634282	0.0035989536	-0.0609522057	0.1901719545	0.7800750942	
BPHL	0.6141754965	0.0033718162	-0.0608759661	0.1904704524	0.7800750942	
EPX	0.6141466913	0.0032974091	-0.0608509911	0.1905682983	0.7800750942	
AKT1	0.6141421431	0.0032856606	-0.0608470477	0.1905837505	0.7800750942	
SLC1A4	0.6141133379	0.0032112535	-0.0608220727	0.190681632	0.7800750942	
PTPN6	0.6140526953	0.003054607	-0.0607694937	0.1908877986	0.7800750942	TSG
BDKRB2	0.6137040007	0.0021538895	-0.0604671644	0.1920758937	0.7800750942	
CHRND	0.6136949044	0.0021303926	-0.0604592776	0.1921069476	0.7800750942	
IL2RB	0.6136676152	0.0020599016	-0.060435617	0.1922001276	0.7800750942	
PPARD	0.6136266815	0.0019541652	-0.0604001262	0.1923399491	0.7800750942	
YWHAE	0.6135948442	0.0018719258	-0.0603725222	0.192448742	0.7800750942	
PIK3R5	0.6134750752	0.001562549	-0.0602686787	0.1928583453	0.7800750942	
PTGER2	0.6133962399	0.0013589085	-0.060200326	0.1931282465	0.7800750942	
MMP20	0.6133113403	0.0011396034	-0.0601267154	0.1934191656	0.7800750942	
TCF19	0.61330376	0.0011200226	-0.060120143	0.1934451534	0.7800750942	
HOXD13	0.6132234086	0.0009124659	-0.0600504758	0.1937207548	0.7800750942	
PHOX2B	0.6132120837	0.0008832123	-0.0600406567	0.1939116959	0.7800750942	
IL3RA	0.6130323846	0.0004190294	-0.059884852	0.1943769131	0.7800750942	
CACNA1S	0.6129141317	0.0001135687	-0.0597823229	0.1947837799	0.7800750942	
CSK	0.6128898747	5.09101162317224E-005	-0.0597612913	0.1948673033	0.7800750942	
GFRA2	0.6128701658	0	-0.0597442032	0.1949351821	0.7800750942	
ALDH5A1	0.6124092826	0	-0.0593446028	0.1965265749	0.7830232508	
PICK1	0.612395638	0	-0.0593327725	0.1965738076	0.7830232508	
MUSK	0.6123653167	0	-0.059306483	0.1966787934	0.7830232508	
CACNA2D4	0.6121348751	0	-0.0591066828	0.197477789	0.7848648752	
PTCH1	0.6119059495	0	-0.0589081971	0.1982734575	0.7863548318	TSG
PPYR1	0.6118331784	0	-0.0588451023	0.1985267878	0.7863548318	
PMS1	0.6116906685	0	-0.0587215416	0.199023455	0.7869859671	TSG
GRK5	0.6115618031	0	-0.0586098112	0.1994732095	0.7874297761	
SLC45A3	0.6114329377	0	-0.0584980809	0.1999235718	0.7878744813	
ADRB3	0.6110524058	0	-0.0581681476	0.2012570097	0.7915674538	
APOB	0.6109720544	0	-0.0580984805	0.2015392489	0.7915674538	
FRS2	0.6108401569	0	-0.0579841211	0.2020030581	0.7916556953	
RICTOR	0.6107097754	0	-0.0578710763	0.20246216	0.7916556953	
KCNK9	0.610676422	0	-0.0578421578	0.2025797043	0.7916556953	
CACNA1A	0.6103944342	0	-0.0575976655	0.2035751079	0.7942152622	
ESRRA	0.6102155387	0	-0.0574425574	0.2042081018	0.7953547604	
EPHA5	0.6099866132	0	-0.0572440717	0.2050198173	0.7971853897	
ADRA2A	0.6098820048	0	-0.0571533729	0.2053913677	0.7973012661	
PLA2G2A	0.6097743643	0	-0.0570600452	0.2057741026	0.7974601018	TSG
TFR2	0.6095181496	0	-0.0568378989	0.2066868108	0.7996688717	
BIRC7	0.6090974634	0	-0.0564731507	0.2083456481	0.804752313	
PPM1A	0.6087502847	0	-0.0561721358	0.2095916573	0.8082270026	
ADSSL1	0.6083735216	0	-0.0558454703	0.2107933115	0.8088075972	
GUCY2C	0.6082673972	0	-0.0557534571	0.2111764422	0.8088075972	
PSEN2	0.608238592	0	-0.055728482	0.2112805049	0.8088075972	
RARB	0.608096082	0	-0.0556049214	0.2117957803	0.8088075972	TSG
STK17B	0.6080415038	0	-0.0555576003	0.2119933134	0.8088075972	
SOX10	0.6080020861	0	-0.0555234239	0.2121360427	0.8088075972	
GSK3A	0.6079929897	0	-0.0555155371	0.2121689882	0.8088075972	
CSNK1E	0.6076943252	0	-0.0552565855	0.2132523494	0.8105029986	
PSKH2	0.6076564236	0	-0.0552237236	0.2133900608	0.8105029986	
DPP6	0.6075306113	0	-0.0551146403	0.2140033635	0.8105029986	
ERBB2	0.6075169458	0	-0.0551027919	0.2138972824	0.8105029986	
CD28	0.6070045164	0	-0.0546584994	0.215766754	0.8153744958	
PER1	0.6069438738	0	-0.0546059204	0.2159886148	0.8153744958	
RABGGTA	0.6066679503	0	-0.0543666859	0.2169997396	0.8178681623	
CYSLTR1	0.6063965954	0	-0.0541314127	0.2181529614	0.820888482	
ZNF423	0.6057719568	0	-0.0535898312	0.2203018161	0.8274458995	
DHCR7	0.6056900893	0	-0.0535188496	0.2206049505	0.8274458995	
E2F1	0.6048865757	0	-0.0528221778	0.2235927427	0.8284857125	TSG
GRIK3	0.6048304814	0	-0.0527735422	0.2238021756	0.8284857125	
IL1B	0.6048304814	0	-0.0527735422	0.2238021756	0.8284857125	
GPR83	0.604798644	0	-0.0527459383	0.2239210922	0.8284857125	
NEK9	0.6047395176	0	-0.0526946737	0.224142032	0.8284857125	
TIMP3	0.6046697786	0	-0.0526342079	0.224402786	0.8284857125	TSG
TOP1	0.6046394574	0	-0.0526079184	0.2245162106	0.8284857125	
PPIF	0.6045151402	0	-0.0525001314	0.2249815897	0.8284857125	
SP140	0.6044962093	0	-0.0524837178	0.2252090587	0.8284857125	
LTF	0.6044560137	0	-0.0524488669	0.2252031193	0.8284857125	TSG
COL14A1	0.6044529816	0	-0.052446238	0.2252144831	0.8284857125	
BMPR1B	0.6043938551	0	-0.0523949734	0.2254361417	0.8284857125	
CTH	0.6043771784	0	-0.0523805142	0.225498683	0.8284857125	
ITGB7	0.6038965863	0	-0.0519638256	0.2273052006	0.8338098005	
F7	0.603723755	0	-0.0518139755	0.2279568404	0.8348874546	
MMP12	0.6034538958	0	-0.0515799989	0.2289763997	0.8373071169	
DDB2	0.6031749401	0	-0.0513381355	0.2300329956	0.8379505164	
PCK1	0.6030703317	0	-0.0512474368	0.2304299175	0.8379505164	
ROS1	0.6030021088	0	-0.0511882854	0.2306889846	0.8379505164	
MADD	0.6029914964	0	-0.0511790841	0.2307292985	0.8379505164	
RPL22	0.602933886	0	-0.051129134	0.2309482135	0.8379505164	
RND3	0.6026049002	0	-0.0508438929	0.2322005404	0.8411861191	TSG
EGFL7	0.6024214565	0	-0.0506848415	0.2329004713	0.8414023373	
HAO1	0.6024002317	0	-0.0506664388	0.2329815302	0.8414023373	
ST8SIA1	0.6020697298	0	-0.0503798833	0.2342457416	0.8437124758	
CRH	0.6020439567	0	-0.0503575372	0.2343444853	0.8437124758	
PLA2G7	0.6018317079	0	-0.0501735107	0.23515854	0.8453387885	
CYP11B1	0.6017210352	0	-0.050077554	0.2355836266	0.8454092221	
IFNG	0.6016596536	0	-0.0500243342	0.2359760006	0.8454092221	
CELA1	0.6015224309	0	-0.0499053578	0.2363475092	0.8454092221	
HLA-DQB1	0.6014223707	0	-0.0498186025	0.2367328792	0.8454092221	
SLC1A3	0.6013556639	0	-0.0497607656	0.2369899834	0.8454092221	
BAX	0.601117642	0	-0.049554393	0.2379086205	0.8471177077	TSG
PRDM16	0.6008250417	0	-0.0493006993	0.2390405561	0.8471177077	
CYP1B1	0.6006673711	0	-0.0491639939	0.2396517229	0.8471177077	
BCL2A1	0.6005870198	0	-0.0490943267	0.2399635088	0.8471177077	
F3	0.6003611263	0	-0.04889847	0.2408412164	0.8471177077	
CYP3A5	0.6000563976	0	-0.0486342605	0.2420279849	0.8471177077	
SLC6A1	0.6000245602	0	-0.0486066565	0.2421521574	0.8471177077	
SLC9A1	0.5999093394	0	-0.0485067564	0.2426018304	0.8471177077	
PRKG1	0.599891165	0	-0.0484909986	0.2428287413	0.8471177077	
CPS1	0.5997683455	0	-0.0483845102	0.2431526994	0.8471177077	
