A	B
LY-294002	MAPK11
LY-294002	MAPK12
LY-294002	MAPK14
LY-294002	MAPK8
LY-294002	PDE2A
LY-294002	PRKCA
LY-294002	ROCK1
LY-294002	RPS6KB1
LY-294002	SGK1
LY-83583	GUCY1A2
letrozole	CYP19A1
linopirdine	KCNQ2
linopirdine	KCNQ3
linopirdine	KCNQ4
linopirdine	KCNQ5
MBCQ	PDE5A
MDL-11939	HTR2A
MDL-11939	HTR2B
MDL-11939	HTR2C
MDL-29951	FBP1
MDL-29951	GPR17
MDL-73005EF	HTR1A
mebeverine	CHRM1
mebeverine	CHRM2
mebeverine	CHRM3
mebeverine	CHRM4
meloxicam	PTGS2
meloxicam	PTGS1
menadione	AOX1
menadione	BGLAP
menadione	F10
menadione	F2
menadione	F7
menadione	F9
menadione	GGCX
menadione	NQO1
menadione	NQO2
menadione	PKM
menadione	PROC
menadione	PROS1
menadione	PROZ
menadione	VKORC1
menadione	VKORC1L1
mephentermine	ADRA1A
mephentermine	ADRA1B
mephentermine	ADRA1D
mephentermine	ADRA2A
mephentermine	ADRA2B
mephentermine	ADRA2C
mephentermine	ADRB1
mephentermine	ADRB2
mephentermine	ADRB3
mesulergine	HTR2A
mesulergine	HTR2C
mesulergine	HTR7
mesulergine	HTR2B
mesulergine	HTR3A
mesulergine	HTR3B
mesulergine	HTR6
methoxsalen	ACHE
methoxsalen	CYP1A2
methylergometrine	DRD1
methylergometrine	HTR1E
methylergometrine	HTR1F
methylergometrine	HTR2A
methylergometrine	HTR2B
methylergometrine	HTR2C
methysergide	HTR2C
methysergide	HTR1B
methysergide	HTR1E
methysergide	HTR1F
methysergide	HTR2A
methysergide	HTR2B
methysergide	HTR7
methysergide	HTR1A
methysergide	HTR1D
methysergide	HTR5A
methysergide	HTR6
metolazone	SLC12A3
metolazone	CA2
metolazone	CA7
mexiletine	SCN5A
mexiletine	AHR
mexiletine	CYP2B6
mexiletine	CYP2E1
mexiletine	KCNK2
mexiletine	KCNK3
mexiletine	SCN4A
midodrine	ADRA1A
midodrine	ADRA1B
midodrine	ADRA1D
minaprine	HTR2B
minaprine	SLC6A4
minaprine	ACHE
minaprine	CHRM1
minaprine	DRD1
minaprine	DRD2
minaprine	HTR2A
minaprine	HTR2C
minaprine	MAOA
mitotane	CYP11B1
mitotane	CYP11A1
mitotane	CYP3A4
mitotane	ESR1
mitotane	FDX1
MK-212	HTR2A
MK-212	HTR2B
MK-212	HTR2C
ML-9	MLCK
ML-9	TRPC6
ML-9	PKA
ML-9	PKC
maprotiline	SLC6A2
maprotiline	ADRA1A
maprotiline	ADRA1B
maprotiline	ADRA1D
maprotiline	ADRA2A
maprotiline	ADRA2B
maprotiline	ADRA2C
maprotiline	CHRM1
maprotiline	CHRM2
maprotiline	CHRM3
maprotiline	CHRM4
maprotiline	CHRM5
maprotiline	DRD2
maprotiline	HRH1
maprotiline	HTR2A
maprotiline	HTR2C
maprotiline	HTR7
medetomidine	ADRA2A
medetomidine	ADRA2B
medetomidine	ADRA2C
medetomidine	ADRA1A
medetomidine	ADRA1B
medetomidine	ADRA1D
megestrol	PGR
mephenytoin	SCN5A
mephenytoin	CYP2C19
metergoline	DRD2
metergoline	HTR1A
metergoline	HTR1B
metergoline	HTR1D
metergoline	HTR1E
metergoline	HTR1F
metergoline	HTR2A
metergoline	HTR2B
metergoline	HTR2C
metergoline	HTR5A
metergoline	HTR6
metergoline	HTR7
methyl-2,5-dihydroxycinnamate	EGFR
metixene	CHRM5
metixene	CHRM1
metixene	CHRM2
metixene	CHRM3
metixene	CHRM4
metyrapone	CYP11B1
metyrapone	HSD11B1
metyrapone	NR3C2
mirtazapine	ADRA2A
mirtazapine	HTR2A
mirtazapine	HTR2C
mirtazapine	ADRA2C
mirtazapine	HTR3A
mirtazapine	ADRA1A
mirtazapine	ADRA1B
mirtazapine	ADRA1D
mirtazapine	ADRA2B
mirtazapine	ADRB1
mirtazapine	ADRB2
mirtazapine	DRD1
mirtazapine	DRD2
mirtazapine	DRD3
mirtazapine	DRD5
mirtazapine	HRH1
mirtazapine	HRH3
mirtazapine	HTR2B
mirtazapine	HTR7
mirtazapine	OPRK1
mirtazapine	SLC6A2
mirtazapine	SLC6A3
mirtazapine	SLC6A4
molindone	DRD2
molindone	HTR2A
molindone	CHRM1
molindone	DRD5
molindone	HRH1
molindone	HTR1A
moracizine	SCN5A
mycophenolic-acid	IMPDH1
mycophenolic-acid	IMPDH2
BRD-K51557114	GPR18
BRD-K51557114	LPAR5
BRD-K51557114	SLC6A5
BRD-K98297262	CLC
quipazine	HTR2A
quipazine	HTR3A
quipazine	HTR3B
quipazine	HTR1A
quipazine	HTR1D
quipazine	HTR2B
quipazine	HTR2C
quipazine	HTR6
quipazine	SLC6A4
N6-cyclopentyladenosine	ADORA1
N6-cyclopentyladenosine	ADORA2A
N6-cyclopentyladenosine	ADORA2B
N6-cyclopentyladenosine	ADORA3
N6-cyclopentyladenosine	SLC29A1
nabumetone	PTGS2
nabumetone	AKR1C3
nabumetone	CYP2B6
nabumetone	CYP2C19
nabumetone	CYP2E1
nabumetone	PTGS1
nadolol	ADRB1
nadolol	ADRB2
nadolol	ADRB3
naltrexone	OPRK1
naltrexone	OPRM1
naltrexone	OPRD1
naltrexone	SIGMAR1
naproxol	PTGS1
naproxol	PTGS2
NBQX	GRIA1
NBQX	GRIA2
NBQX	GRIA3
NBQX	GRIA4
NBQX	GRIK1
NBQX	GRIN1
NBQX	GRIN2A
NBQX	GRIN2B
NCS-382	GABBR1
NCS-382	GABBR2
NCS-382	SLC52A2
nicardipine	CACNA1C
nicardipine	ADORA3
nicardipine	ADRA1A
nicardipine	ADRA1B
nicardipine	ADRA1D
nicardipine	CACNA1D
nicardipine	CACNA2D1
nicardipine	CACNB2
nicardipine	CALM1
nicardipine	CHRM1
nicardipine	CHRM2
nicardipine	CHRM3
nicardipine	CHRM4
nicardipine	CHRM5
nicardipine	PDE1A
nicardipine	PDE1B
nicergoline	ADRA1A
niclosamide	STAT3
nicotine	CHRNA10
nicotine	CHRNA9
nicotine	AOX1
nicotine	CHAT
nicotine	CHRNA2
nicotine	CHRNA3
nicotine	CHRNA4
nicotine	CHRNA5
nicotine	CHRNA6
nicotine	CHRNA7
nicotine	CHRNB2
nicotine	CHRNB3
nicotine	CHRNB4
nicotine	CYP19A1
nicotine	CYP2B6
nicotine	TBXAS1
nicotine	TRPA1
nimodipine	CACNA1C
nimodipine	NR3C2
nimodipine	AHR
nimodipine	CACNA1D
nimodipine	CACNA1F
nimodipine	CACNA1S
nimodipine	CACNB1
nimodipine	CACNB2
nimodipine	CACNB3
nimodipine	CACNB4
nimodipine	CFTR
nitrendipine	CACNA1C
nitrendipine	CACNA1D
nitrendipine	CACNA2D1
nitrendipine	CACNA1H
nitrendipine	CACNA1S
nitrendipine	CACNA2D2
nitrendipine	CACNB2
nitrendipine	CACNG1
nitrendipine	KCNN4
nocodazole	HPGDS
norethindrone	PGR
norgestimate	PGR
norgestimate	ESR1
NS-1619	KCNMA1
NS-1619	KCNT1
NS-1619	KCNT2
NS-1619	KCNU1
NS-3694	GRIK1
NSC-663284	CDC25A
NSC-663284	CDC25B
NSC-663284	CDC25C
NU-7026	PRKDC
nalbuphine	OPRD1
nalbuphine	OPRK1
nalbuphine	OPRM1
naloxone	OPRM1
naloxone	OPRK1
naloxone	OPRD1
naloxone	CREB1
naloxone	ESR1
naloxone	TLR4
naringenin	CYP19A1
naringenin	ESR2
naringenin	CYP1B1
naringenin	GLO1
naringenin	HSD17B1
naringin	SLCO1A2
olmesartan	AGTR1
ouabain	ATP1A1
ouabain	ATP1A2
ouabain	ATP1A3
ouabain	ATP1A4
ouabain	ATP1B1
ouabain	ATP1B2
ouabain	ATP1B3
ouabain	ATP1B4
ouabain	FXYD2
oxaprozin	PTGS1
oxaprozin	PTGS2
oxibendazole	TUBB
oxibendazole	TUBB4B
oxotremorine	CHRM2
oxotremorine	CHRM1
oxotremorine	CHRM3
oxotremorine	CHRM4
oleylethanolamide	GPR119
oleylethanolamide	CNR1
oleylethanolamide	GPR55
oleylethanolamide	KCND3
oleylethanolamide	PPARA
ondansetron	HTR3A
ondansetron	CYP2D6
ondansetron	CYP3A5
ondansetron	HTR1A
ondansetron	HTR1B
ondansetron	HTR3B
ondansetron	HTR4
ondansetron	OPRM1
oxprenolol	ADRB1
oxprenolol	ADRB2
ozagrel	TBXAS1
PAC-1	CASP3
paclitaxel	TUBB
paclitaxel	NR1I2
paclitaxel	ABCB1
paclitaxel	BCL2
paclitaxel	CYP2C8
paclitaxel	MAP2
paclitaxel	MAP4
paclitaxel	MAPT
paclitaxel	TLR4
paclitaxel	TUBB1
paroxetine	SLC6A4
paroxetine	CHRM1
paroxetine	CHRM2
paroxetine	CHRM3
paroxetine	CHRM4
paroxetine	CHRM5
paroxetine	HTR2A
paroxetine	SLC6A2
PD-158780	EGFR
penitrem-a	KCNMA1
pentobarbital	GABRA1
pentobarbital	CHRNA4
pentobarbital	CHRNA7
pentobarbital	GABRA2
pentobarbital	GABRA3
pentobarbital	GABRA4
pentobarbital	GABRA5
pentobarbital	GABRA6
pentobarbital	GABRB1
pentobarbital	GABRB2
pentobarbital	GABRB3
pentobarbital	GABRD
pentobarbital	GABRE
pentobarbital	GABRG1
pentobarbital	GABRG2
pentobarbital	GABRG3
pentobarbital	GABRP
pentobarbital	GABRQ
pentobarbital	GRIA2
pentobarbital	GRIK2
pentobarbital	GRIN1
pentobarbital	GRIN2A
pentobarbital	GRIN2B
pentobarbital	GRIN2C
pentobarbital	GRIN2D
pentobarbital	GRIN3A
pentobarbital	GRIN3B
pergolide	DRD1
pergolide	DRD2
pergolide	ADRA2A
pergolide	ADRA2B
pergolide	ADRA2C
pergolide	DRD3
pergolide	DRD4
pergolide	DRD5
pergolide	HTR1A
pergolide	HTR1B
pergolide	HTR1D
pergolide	HTR2A
pergolide	HTR2B
pergolide	HTR2C
pergolide	ADRA1A
pergolide	ADRA1B
pergolide	ADRA1D
pergolide	KCNA5
perindopril	ACE
perphenazine	DRD2
perphenazine	CALM1
perphenazine	DRD1
perphenazine	HRH1
perphenazine	HTR2A
perphenazine	HTR2C
perphenazine	HTR6
perphenazine	HTR7
PETCM	CASP3
PHCCC	GRM1
PHCCC	GRM4
phenacetin	PTGS1
phenamil	PKD2L1
phentermine	MAOA
phentermine	MAOB
phentermine	SLC6A2
phentermine	SLC6A3
phentermine	SLC6A4
physostigmine	ACHE
physostigmine	BCHE
piceid	GAA
piceid	XDH
pindolol	ADRB1
pindolol	ADRB2
pindolol	HTR1A
pindolol	HTR1B
pindolol	HTR2A
pindolol	HTR2B
pioglitazone	PPARG
pioglitazone	INS
pioglitazone	TRPM3
pipamperone	DRD2
pipamperone	HTR2A
pipamperone	HRH1
pipamperone	HTR1A
pipamperone	HTR1B
pipamperone	HTR1D
piperidolate	CHRM1
piperine	MAOA
piperine	MAOB
piperine	TRPV1
pirenperone	HTR2A
pirenperone	HTR7
piroxicam	PTGS2
piroxicam	PTGS1
pizotifen	HTR2A
pizotifen	HTR1A
pizotifen	HTR2C
PRE-084	SIGMAR1
prednisolone	NR3C1
prednisolone	NR3C2
prednisolone	SERPINA6
prednisone	NR3C1
prednisone	HSD11B1
pregnenolone	CYP17A1
pregnenolone	PGR
pregnenolone	SULT2B1
primaquine	KRT7
primaquine	NQO2
primidone	GABRA1
primidone	CHRNA4
primidone	CHRNA7
primidone	GABRA2
primidone	GABRA3
primidone	GABRA4
primidone	GABRA5
primidone	GABRA6
primidone	GABRB1
primidone	GABRB2
primidone	GABRB3
primidone	GABRD
primidone	GABRE
primidone	GABRG1
primidone	GABRG2
primidone	GABRG3
primidone	GABRP
primidone	GABRQ
primidone	GRIA2
primidone	GRIK2
proadifen	NOS1
prochlorperazine	DRD2
prochlorperazine	DRD1
prochlorperazine	DRD3
prochlorperazine	DRD4
progesterone	PGR
progesterone	CYP17A1
progesterone	NR3C2
progesterone	CATSPER1
progesterone	CATSPER2
progesterone	CATSPER3
progesterone	CATSPER4
progesterone	CYP2C19
progesterone	ESR1
progesterone	OPRK1
progesterone	TRPC5
promazine	CHRM5
promazine	DRD2
promazine	ADRA1A
promazine	ADRA1B
promazine	ADRA1D
promazine	CHRM1
promazine	CHRM2
promazine	CHRM3
promazine	CHRM4
promazine	DRD1
promazine	DRD3
promazine	DRD4
promazine	HRH1
promazine	HTR2A
promazine	HTR2C
propentofylline	ACHE
protriptyline	SLC6A2
protriptyline	SLC6A4
PSB-06126	ENTPD3
PSB-069	ENTPD1
PSB-069	ENTPD2
PSB-069	ENTPD3
PSB-1115	ADORA2B
PSB-1115	ADORA1
PSB-1115	ADORA3
PSB-36	ADORA1
PSB-36	ADORA2A
PSB-36	ADORA2B
PSB-36	ADORA3
paxilline	ABCA1
paxilline	KCNMA1
paxilline	NR1H3
pepstatin	CTSB
pepstatin	CTSD
pepstatin	CTSL
pepstatin	REN
pifithrin-mu	HSPA1A
pifithrin-mu	TP53
piribedil	DRD2
piribedil	DRD3
piribedil	ADRA1A
piribedil	ADRA2A
piribedil	ADRA2C
piribedil	DRD4
piribedil	HTR1A
piribedil	HTR2B
pirlindole	MAOA
pirlindole	SLC6A2
pirlindole	SLC6A4
practolol	ADRB1
prednicarbate	NR3C1
prednicarbate	PLA2G1B
proscillaridin	ATP1A1
protein-tyrosine-phosphatase-inhibitor-IV	PTPN1
protein-tyrosine-phosphatase-inhibitor-IV	PTPN11
protopine	ACHE
protopine	SLC6A2
protopine	SLC6A4
purvalanol-a	CDK1
purvalanol-a	CDK2
purvalanol-a	CDK4
purvalanol-a	CDK5
purvalanol-a	CCND1
purvalanol-a	CCNE1
purvalanol-a	CSNK1G3
purvalanol-a	RPS6KA1
purvalanol-a	SRC
purvalanol-b	CDK2
purvalanol-b	CDK4
purvalanol-b	MAPK1
purvalanol-b	MAPK3
purvalanol-b	CDK5
purvalanol-b	SRPK2
quetiapine	DRD2
quetiapine	HTR1A
quetiapine	HTR2A
quetiapine	DRD1
quetiapine	HRH1
quetiapine	HTR1D
quetiapine	HTR1E
quetiapine	ADRA1A
quetiapine	ADRA1B
quetiapine	ADRA1D
quetiapine	ADRA2A
quetiapine	ADRA2B
quetiapine	ADRA2C
quetiapine	CHRM1
quetiapine	CHRM2
quetiapine	CHRM3
quetiapine	CHRM4
quetiapine	CHRM5
quetiapine	DRD3
quetiapine	DRD4
quetiapine	DRD5
quetiapine	HTR1B
quetiapine	HTR1F
quetiapine	HTR2C
quetiapine	HTR3A
quetiapine	HTR6
quetiapine	HTR7
quetiapine	SLC6A2
mepacrine	TP53
mepacrine	AKT1
mepacrine	MTOR
mepacrine	NFKB1
mepacrine	PLA2G1B
mepacrine	PLA2G2A
mepacrine	PLA2G2D
mepacrine	PLA2G4A
mepacrine	PLA2G6
mepacrine	PLCL1
quinapril	ACE
quinethazone	CA1
quinethazone	CA2
quinethazone	SLC12A1
quinethazone	SLC12A2
quinethazone	SLC12A3
R-59022	DGKA
r(-)-propylnorapomorphine	DRD2
r(-)-propylnorapomorphine	DRD1
r(-)-propylnorapomorphine	DRD3
raloxifene	ESR1
raloxifene	ESR2
raloxifene	ACVRL1
raloxifene	ENG
resorcinol	CA12
resorcinol	CA14
resorcinol	CA2
resorcinol	PTGS1
rhamnetin	ALOX5
rhamnetin	MAPK8
ritanserin	HTR2A
ritanserin	HTR2C
ritanserin	HTR2B
ritanserin	ADRA1A
ritanserin	ADRA1B
ritanserin	ADRA1D
ritanserin	HTR1A
ritanserin	HTR1B
ritanserin	HTR1D
ritanserin	HTR5A
ritanserin	HTR6
ritanserin	HTR7
rizatriptan	HTR1D
rizatriptan	HTR1B
rizatriptan	HTR1F
rizatriptan	HTR1A
rizatriptan	HTR1E
RK-682	HPSE
RK-682	PTPN1
benzyl-quinazolin-4-yl-amine	EGFR
Ro-04-6790	HTR6
rofecoxib	PTGS2
rofecoxib	CYP3A4
rofecoxib	ELN
rolipram	PDE4A
rolipram	PDE4B
rolipram	PDE4D
rolipram	PDE4C
rolipram	PDE5A
ropinirole	DRD2
ropinirole	DRD3
ropinirole	ADRA2A
ropinirole	ADRA2B
ropinirole	ADRA2C
ropinirole	DRD1
ropinirole	DRD4
ropinirole	DRD5
ropinirole	HTR1A
ropinirole	HTR1B
ropinirole	HTR1D
ropinirole	HTR2A
ropinirole	HTR2B
ropinirole	HTR2C
rosuvastatin	HMGCR
RS-102895	CCR2
RS-39604	HTR4
RU-24969	HTR1A
RU-24969	HTR1B
RU-24969	HTR6
RU-24969	HTR1D
RU-24969	HTR2A
RU-24969	HTR2B
RU-24969	HTR2C
RU-24969	HTR5A
RU-28318	NR3C2
RX-821002	ADRA2A
RX-821002	ADRA2B
RX-821002	ADRA2C
RX-821002	ADRA1A
RX-821002	ADRA1B
RX-821002	ADRA1D
ramipril	ACE
ranitidine	HRH2
ranitidine	SLC22A2
repaglinide	ABCC8
repaglinide	CYP2C8
repaglinide	CYP3A5
repaglinide	INS
repaglinide	KCNJ11
repaglinide	PPARG
mepireserpate	SLC18A2
mepireserpate	SLC18A1
ritodrine	ADRB2
RO-25-6981	GRIN2B
RO-25-6981	SLC18A2
bisindolylmaleimide-ix	SIRT1
bisindolylmaleimide-ix	AKT1
bisindolylmaleimide-ix	GSK3B
bisindolylmaleimide-ix	LCK
bisindolylmaleimide-ix	LRRK2
bisindolylmaleimide-ix	MAPK1
bisindolylmaleimide-ix	MAPK11
bisindolylmaleimide-ix	MAPK12
bisindolylmaleimide-ix	MAPK14
bisindolylmaleimide-ix	MAPK8
bisindolylmaleimide-ix	PRKCA
bisindolylmaleimide-ix	ROCK1
bisindolylmaleimide-ix	RPS6KB1
bisindolylmaleimide-ix	SIRT2
RO-90-7501	APP
rottlerin	KCNH2
rottlerin	PRKCD
rottlerin	TGM2
S-14506	HTR1A
S-14506	DRD2
S-14506	HTR2C
SB-203186	HTR4
SB-206553	HTR2B
SB-206553	HTR2C
SB-206553	HTR1A
SB-206553	HTR2A
SB-216641	HTR1B
SB-216641	HTR1D
SB-216641	HTR1A
SB-216641	HTR2A
SB-216641	HTR2B
SB-216641	HTR2C
SB-218078	CHEK1
SB-258585	HTR6
SC-19220	PTGER1
SCH-28080	ATP4A
SD-169	MAPK14
SDM25N	OPRD1
sertraline	SLC6A4
sertraline	CYP2C19
sertraline	SLC6A3
SIB-1893	GRM5
SIB-1893	GRM4
sildenafil	PDE5A
sildenafil	PDE6G
sildenafil	PDE6H
sildenafil	SLCO1B1
sildenafil	SLCO1B3
simvastatin	HMGCR
simvastatin	CYP2C8
simvastatin	CYP3A4
simvastatin	CYP3A5
simvastatin	ITGB2
SKF-83566	DRD1
SKF-83566	DRD5
SKF-96365	CYP3A4
SKF-96365	TRPC1
SKF-96365	PKD2
SKF-96365	TRPC3
SKF-96365	TRPC4
SKF-96365	TRPC5
SKF-96365	TRPV2
solifenacin	CHRM3
solifenacin	CHRM1
solifenacin	CHRM2
solifenacin	CHRM4
solifenacin	CHRM5
spiperone	ADRA1A
spiperone	DRD2
spiperone	DRD3
spiperone	DRD4
spiperone	HTR1A
spiperone	HTR2A
spiperone	HTR7
spiperone	ADRA1B
spiperone	ADRA1D
spiperone	DRD1
spiperone	DRD5
spiperone	HTR1D
spiperone	HTR2B
spiperone	HTR2C
spiperone	HTR6
mifobate	PPARG
mifobate	REN
gabazine	GABRA1
gabazine	GABRA2
gabazine	GABRA3
gabazine	GABRA4
gabazine	GABRA5
gabazine	GABRA6
gabazine	GABRG2
strychnine	GLRA1
strychnine	CHRM1
strychnine	CHRM2
strychnine	CHRM3
strychnine	CHRM4
strychnine	CHRM5
strychnine	CHRNA10
strychnine	CHRNA9
strychnine	GLRA2
strychnine	GLRA3
strychnine	GLRB
sulfinpyrazone	ABCC1
sulfinpyrazone	ABCC2
sulfinpyrazone	FPR1
sulfinpyrazone	SLC22A12
salsolinol	DRD2
salubrinal	EIF2S1
salubrinal	SLC6A9
siguazodan	PDE3A
sotalol	ADRB1
sotalol	ADRB2
sotalol	KCNH2
spiroxatrine	HTR1A
spiroxatrine	ADRA1A
spiroxatrine	ADRA1B
spiroxatrine	ADRA1D
spiroxatrine	ADRA2A
spiroxatrine	ADRA2B
spiroxatrine	ADRA2C
spiroxatrine	HTR2B
splitomycin	SIRT1
splitomycin	SIRT2
SRC-kinase-inhibitor-I	CSK
SRC-kinase-inhibitor-I	LCK
SRC-kinase-inhibitor-I	RIPK2
tacrolimus	FKBP1A
tacrolimus	CYP3A5
tacrolimus	CYP3A7
tadalafil	PDE5A
tadalafil	PDE11A
TAS-301	CAMK2A
TCS-359	FLT3
teniposide	TOP2A
teniposide	CYP3A5
tenoxicam	PTGS2
tenoxicam	PTGS1
terfenadine	HRH1
terfenadine	KCNH2
terfenadine	CHRM1
terfenadine	CHRM2
terfenadine	CHRM3
terfenadine	CHRM4
terfenadine	CHRM5
terfenadine	KCNH1
testosterone	AR
testosterone	CYP19A1
testosterone	CYP2C19
testosterone	CYP2C8
testosterone	CYP3A5
thalidomide	TNF
thalidomide	CRBN
thalidomide	CYP1A2
thalidomide	CYP2B6
thalidomide	CYP2C19
thalidomide	CYP3A5
thalidomide	FGFR2
thalidomide	NFKB1
thalidomide	ORM1
thalidomide	ORM2
thalidomide	PTGS2
thapsigargin	ATP2A1
thiotepa	CYP2B6
ticlopidine	P2RY12
ticlopidine	CYP2B6
ticlopidine	CYP2C19
tolazoline	ADRA2A
tolazoline	ADRA2B
tolazoline	ADRA2C
tolazoline	ADRA1A
tolazoline	HRH1
tolazoline	HRH2
tolmetin	PTGS2
tolmetin	PTGS1
toremifene	ESR1
toremifene	CYP3A5
tranylcypromine	MAOA
tranylcypromine	MAOB
tranylcypromine	KDM1A
tranylcypromine	CYP2A6
trazodone	HTR2A
trazodone	HTR2C
trazodone	SLC6A4
trazodone	ADRA1A
trazodone	ADRA2A
trazodone	HRH1
trazodone	HTR1A
trazodone	HTR2B
triamcinolone	NR3C1
triamcinolone	CYP3A5
triamcinolone	CYP3A7
triamcinolone	SERPINA6
triciribine	AKT1
triciribine	AKT2
triciribine	AKT3
triclosan	DNMT1
triflupromazine	HTR2B
triflupromazine	CHRM1
triflupromazine	CHRM2
triflupromazine	CHRNA7
triflupromazine	DRD1
triflupromazine	DRD2
alimemazine	HRH1
trimipramine	SLC6A2
trimipramine	SLC6A4
trimipramine	SLC6A3
trimipramine	ADRA1A
trimipramine	ADRA1B
trimipramine	ADRA2A
trimipramine	ADRA2B
trimipramine	ADRB1
trimipramine	ADRB2
trimipramine	ADRB3
trimipramine	CHRM1
trimipramine	CHRM2
trimipramine	CHRM3
trimipramine	CHRM4
trimipramine	CHRM5
trimipramine	DRD1
trimipramine	DRD2
trimipramine	DRD5
trimipramine	HRH1
trimipramine	HTR1A
trimipramine	HTR1D
trimipramine	HTR2A
trimipramine	HTR2C
trimipramine	HTR3A
triprolidine	HRH1
tropicamide	CHRM3
tropicamide	CHRM4
tropicamide	CHRM1
tropicamide	CHRM2
tubocurarine	CHRNA2
tubocurarine	HTR3A
tubocurarine	ACHE
tubocurarine	HTR3B
tubocurarine	KCNN1
tubocurarine	KCNN2
tubocurarine	KCNN3
tubocurarine	ZACN
tamoxifen	ESR1
tamoxifen	ESR2
tamoxifen	CYP3A5
tamoxifen	EBP
tamoxifen	GPER1
tamoxifen	PRKCA
tamoxifen	PRKCB
tamoxifen	PRKCD
tamoxifen	PRKCE
tamoxifen	PRKCG
tamoxifen	PRKCI
tamoxifen	PRKCQ
tamoxifen	PRKCZ
tetrabenazine	SLC18A2
tetrabenazine	DRD2
tetrabenazine	SLC18A1
tetrindole	MAOA
thiethylperazine	DRD1
thiethylperazine	DRD2
thiethylperazine	DRD4
thiorphan	MME
tianeptine	SLC6A4
tiaprofenic-acid	PTGS2
tiaprofenic-acid	PTGS1
tocainide	SCN5A
torasemide	SLC12A1
torasemide	CYP2C8
torasemide	SLC12A2
trequinsin	PDE4A
trequinsin	PDE4B
trequinsin	PDE4C
trequinsin	PDE4D
trequinsin	PDE5A
trequinsin	PTGIR
tropisetron	HTR3A
tropisetron	GLRA1
tropisetron	GLRA2
tropisetron	GLRB
tropisetron	HTR4
VAMA-37	PRKDC
MAZ-51	FLT4
venlafaxine	SLC6A2
venlafaxine	SLC6A4
venlafaxine	CYP2C19
venlafaxine	SLC6A3
warfarin	VKORC1
warfarin	CYP2C19
warfarin	CYP2C8
warfarin	CYP4F2
WAY-161503	HTR2C
WAY-629	HTR2C
wortmannin	PIK3CA
wortmannin	PIK3CG
wortmannin	PLK1
wortmannin	ATM
wortmannin	ATR
wortmannin	MTOR
wortmannin	PI4KA
wortmannin	PI4KB
wortmannin	PIK3CD
wortmannin	PIK3R1
wortmannin	PLK3
wortmannin	PRKDC
XE-991	KCNQ1
XE-991	KCNQ2
XE-991	KCNQ3
XE-991	KCNQ4
XE-991	KCNQ5
Y-26763	ABCC9
Y-26763	KCNJ8
Y-27152	ABCC9
Y-27152	KCNJ8
Y-27632	ROCK1
Y-27632	ROCK2
Y-27632	LRRK2
Y-27632	PKIA
Y-27632	PKN2
Y-27632	PRKACA
Y-27632	PRKCE
YM-298198	GRM1
YM-90709	CSF2RB
YM-90709	IL5RA
yohimbine	ADRA2A
yohimbine	ADRA2C
yohimbine	ADRA2B
yohimbine	HTR1A
yohimbine	HTR1B
yohimbine	HTR1D
yohimbine	HTR2B
yohimbine	DRD2
yohimbine	DRD3
yohimbine	HTR1E
yohimbine	HTR1F
yohimbine	HTR2A
yohimbine	HTR2C
yohimbine	HTR5A
yohimbine	HTR7
yohimbine	KCNJ1
yohimbine	KCNJ10
yohimbine	KCNJ11
yohimbine	KCNJ12
yohimbine	KCNJ14
yohimbine	KCNJ15
yohimbine	KCNJ8
ZD-7114	ADRB3
ZK-756326	CCR8
ZM-39923	JAK1
ZM-39923	JAK3
zacopride	HTR3A
zacopride	HTR4
zacopride	HTR3B
zacopride	HTR5A
zamifenacin	CHRM3
zimelidine	SLC6A4
zimelidine	MAOA
zimelidine	MAOB
zonisamide	CA1
zonisamide	CA12
zonisamide	CA7
zonisamide	SCN1A
zonisamide	CA10
zonisamide	CA11
zonisamide	CA13
zonisamide	CA14
zonisamide	CA2
zonisamide	CA3
zonisamide	CA4
zonisamide	CA5A
zonisamide	CA5B
zonisamide	CA6
zonisamide	CA8
zonisamide	CA9
zonisamide	CACNA1G
zonisamide	CACNA1H
zonisamide	CACNA1I
zonisamide	MAOA
zonisamide	MAOB
zonisamide	SCN11A
zonisamide	SCN1B
zonisamide	SCN2A
zonisamide	SCN2B
zonisamide	SCN3A
zonisamide	SCN3B
zonisamide	SCN4A
zonisamide	SCN4B
zonisamide	SCN5A
zonisamide	SCN9A
calyculin	PPP1CA
calyculin	PPP1CC
calyculin	PPP2CA
epibatidine	CHRFAM7A
epibatidine	CHRNA2
epibatidine	CHRNA3
epibatidine	CHRNA4
epibatidine	CHRNA7
epitestosterone	AKR1C1
epitestosterone	AKR1C2
epitestosterone	AR
fluphenazine	DRD2
fluphenazine	DRD1
fluphenazine	CALM1
fluphenazine	CHRNA7
fluphenazine	DRD5
fluphenazine	HRH1
fluphenazine	HTR2A
fluphenazine	HTR6
fluphenazine	HTR7
fulvestrant	ESR1
fulvestrant	EPHX2
fulvestrant	ESR2
fulvestrant	GPER1
geldanamycin	HSP90AA1
geldanamycin	HSP90AB1
manumycin-a	FNTA
manumycin-a	IKBKB
mitoxantrone	TOP2A
mitoxantrone	PIM1
sirolimus	MTOR
sirolimus	FKBP1A
sirolimus	CCR5
sirolimus	FGF2
thioridazine	DRD1
thioridazine	DRD2
thioridazine	HTR2A
thioridazine	ADRA1A
thioridazine	ADRA1B
thioridazine	CHRNA7
thioridazine	DRD5
thioridazine	HRH1
